"﻿""Област""","Населено място","Тип","Име на училище","Общ брой ученици","География и икономика / Макс 18","История и цивилизация / Макс 18","Физика и астрономия / Макс 15","Химия и опазване на околната среда / Макс 15","Биология и здравно образование / Макс 15","Чужд език / Макс 35","Български език и литература / Макс 65","Математика / Макс 65"
"Добрич","Добрич","град","ХУМАНИТАРНА ГИМНАЗИЯ","61","14.05","12.81","10.11","8.54","8.81","23.53","36.62","29.29"
"Добрич","Добрич","град","ПМГ ""Иван Вазов""","47","14.45","12.53","10.34","10.38","12.19","27.53","40.23","38.28"
"Добрич","Черна","село","ОУ ""Братя Миладинови""","3","8.5","9","6.5","6","6.5","13.5","26","10"
"Добрич","Божурово","село","ОУ""Васил Левски""","9","9.5","11.5","8","8.83","8","22.67","26.21","38.5"
"Добрич","Хитово","село","ОУ""Васил Левски""","15","10.23","10.46","9.73","9","10.67","15.27","18.53","13"
"Добрич","Бенковски","село","ОУ"" Г. С. Раковски""","8","8.57","8","6.25","4.5","6.12","14.38","15.5","10.5"
"Добрич","Паскалево","село","ОУ""Димитър Минчев""","1","7","7","6","5","5","14","39","40"
"Добрич","Победа","село","ОУ ""Добри Войников ""","13","9","9","5.7","6.6","7.1","18.4","14.9","17"
"Добрич","Карапелит","село","ОУ ""Н. Вапцаров""","16","11.53","10.6","8.94","7.81","9.19","22.25","16.56","17.19"
"Добрич","Ловчанци","село","ОУ ""Неофит  Рилски""","7","7","5.17","6.6","8","9.6","19.6","21.71","20.86"
"Добрич","Батово","село","ОУ "" ОТЕЦ ПАИСИЙ""","14","13.92","14","10.07","12.29","7.93","25.36","28.75","19.64"
"Добрич","Овчарово","село","ОУ ""Отец Паисий""","9","9.86","12.86","11.14","6.71","6.43","22.5","26.86","30.86"
"Добрич","Стефаново","село","ОУ""П.К.Яворов""","17","10.2","9.5","7.64","6.64","8.27","14.91","11.75","33.36"
"Добрич","Смолница","село","ОУ""Климент Охридски""","9","14.38","13.12","10.38","11.38","9.12","23.5","29.31","21.12"
"Добрич","Ведрина","село","ОУ""Св.св.Кирил и Методий""","3","10","10","8.5","6","6","14.5","26","16"
"Добрич","Дончево","село","ОУ с.Дончево","5","9.5","10.5","9.33","6.33","6.67","15.33","34","16.67"
"Добрич","Стефан Караджа","село","ОУ""Св.Св.Кирил и Методий""","5","11.8","13","9.4","7.8","9.4","25","28.4","19.2"
"Добрич","Житница","село","ОУ ""СТЕФАН КАРАДЖА""","12","9.09","8.91","9.27","10.18","10.36","18.09","13.55","23.82"
"Добрич","Владимирово","село","ОУ""Христо Ботев""","6","9.33","8.33","3.25","3.5","4","12.25","5","10"
"Добрич","Стожер","село","ОУ ""Христо Ботев""","12","9.82","11.64","6.25","4.42","5.83","18.45","13.92","11.5"
"Добрич","Соколово","село","ОУ "" Васил Левски""","11","10.89","10.44","10.44","7.78","7.89","20.56","19.44","22.56"
"Добрич","Сенокос","село","ОУ ""Г.С.Раковски""","11","7.8","7.5","5.5","5.9","6.3","14.18","18.82","9.82"
"Добрич","Балчик","град","ОУ ""Св. Св. Кирил и Методий""","32","14.72","13.94","10.19","11.06","9.94","23.72","38.62","26.28"
"Добрич","Балчик","град","ОУ""Антим І""","26","12.45","11.14","7.23","5.82","6.36","15.64","20.34","15.32"
"Добрич","Балчик","град","СОУ""Христо Ботев""","28","11.22","11.83","8.25","6.58","6.46","20.09","24.6","17.67"
"Добрич","Оброчище","село","СОУ""Христо Смирненски""","28","9.57","8.83","6.42","8.79","7.33","16.83","19.48","16.42"
"Добрич","Спасово","село","ОУ ""Йордан Йовков""","9","8.62","9","8.5","5.88","8.25","15.75","11.25","9.12"
"Добрич","Преселенци","село","ОУ ""Васил Левски""","13","12.55","10.91","12.64","10.91","10.64","15.27","10.78","5.78"
"Добрич","Красен","село","ОУ "" Йордан Йовков""","4","8.67","5.33","9","10.33","10","8.33","14.25","11.5"
"Добрич","Кардам","село","ОУ ""Христо Ботев""","7","9.14","7.86","6.83","6.67","6.67","26.67","13.71","21.14"
"Добрич","Генерал Тошево","град","ОУ ""Хр. Смирненски""","46","10.85","9.35","7.24","5.41","7.39","13.97","24","17.19"
"Добрич","Генерал Тошево","град","СОУ ""Н. Й. ВАПЦАРОВ""","39","14.7","13.73","9.46","8.76","8.7","22.32","35.62","19.78"
"Добрич","Каварна","град","ОУ""Й.ЙОВКОВ""","34","11.83","10.43","8.33","7.3","7.07","18.93","28.77","22.07"
"Добрич","Каварна","град","СОУ ""Ст. Караджа""","56","9.98","8.89","8.04","6.39","7.37","17.93","23.91","16.67"
"Добрич","Белгун","село","ОУ""Св.Св.Кирил и Методий""","7","7.25","6","4.75","6","8","12.75","6.25","14.5"
"Добрич","Коритен","село","ОУ ""Васил Левски""","6","9.6","8.6","7","6.5","7.5","16.4","33.4","29.2"
"Добрич","Телериг","село","ОУ ""Васил Левски""","4","11.67","11","7.33","8.67","7.33","11.33","14.67","15"
"Добрич","Лозенец","село","ОУ "" Отец Паисий ""","3","7.67","8.67","6.33","7.67","7","19.33","16","16.33"
"Добрич","Крушари","село","СОУ ""Христо Смирненски""","20","9.67","8.11","6.5","6","6.39","15.33","14.03","7.28"
"Добрич","Тервел","град","СОУ "" Йордан Йовков""","71","14.14","12.45","11.8","11.41","10.62","20.55","26.51","22.93"
"Добрич","Коларци","село","ОУ ""Д-р П. Берон""","16","13.73","13.2","11.31","11.06","11","14.19","31.31","29.81"
"Добрич","Нова Камена","село","ОУ ""Отец Паисий""","21","12.12","5.88","9.12","10.24","11.59","22.74","13.87","14.06"
"Добрич","Безмер","село","ОУ""Паисий Хилендарски""","8","8.5","9.12","8.62","8.5","9.12","18.5","16.12","24.29"
"Добрич","Зърнево","село","ОУ""Хр.Ботев""","18","7.44","6.39","5.67","5.44","8.28","11.72","20.28","16.67"
"Добрич","Орляк","село","ОУ ""В.Друмев""","10","9.8","10.2","4","6.29","5.43","12.8","16.5","12.14"
"Добрич","Дуранкулак","село","ОУ ""Св. Кл. Охридски""","8","12","10.67","11.14","8.71","7.57","19.83","24.71","22"
"Добрич","Шабла","град","СОУ ""Асен Златаров""","32","12.5","12.33","7.27","6.04","8.08","18.92","30.35","18.68"
"Добрич","Добрич","град","ЧПГ ""Леонардо да Винчи""","1","0","0","0","0","0","0","0","0"
"Кърджали","Кърджали","град","СОУ ""Вл. Д.-Майстора""","36","15.86","15.46","10.15","9.62","9.79","26.82","34.22","24.47"
"Кърджали","Кърджали","град","СОУ ""Йордан Йовков""","33","11.27","12.33","7.87","10.84","11.32","22.13","25.18","18.32"
"Кърджали","Кърджали","град","ОУ""Св.Кл.Охридски""","21","13.75","13.25","8.43","8.71","8.33","23.8","31.5","22.62"
"Кърджали","Кърджали","град","СОУ ""Отец Паисий""","100","14.1","14.66","10.75","10.55","11.43","26.79","38.97","33.45"
"Кърджали","Кърджали","град","СОУ ""П. Р.Славейков""","126","14.44","14.23","11.91","10.98","11.22","25.73","42.06","41.45"
"Кърджали","Кърджали","град","ОУ ""Васил Левски""","24","13.04","14.04","10.14","9.95","10.59","22.67","24.27","24.04"
"Кърджали","Кърджали","град","ОУ ""Св. Св. Кирил и Методий""","59","13.95","13.26","11.57","11.9","12.22","28.29","40.38","47.4"
"Кърджали","Кърджали","град","ОУ""П.К.Яворов""","33","6.77","6.63","6","5.78","6.43","13.93","18.47","28.9"
"Кърджали","Бойно","село","ОУ ""Христо Ботев""","7","10.43","6.43","9","9.14","8.57","19","18.36","8.71"
"Кърджали","Глухар","село","ОУ ""Св. св. Кирил и Методий""","10","12.1","11.7","9.4","9.8","9.8","18.2","28.8","27.2"
"Кърджали","Енчец","село","ОУ ""Св.Св.Кирил и Методий""","11","16.18","12.55","11.82","9.27","10.91","25.36","32.36","24.09"
"Кърджали","Костино","село","ОУ ""Иван Вазов""","8","11.38","11","11.38","9.38","10.88","19.75","23","16.25"
"Кърджали","Конево","село","ОУ ""Гео Милев""","4","7","7.33","7","7","4.67","12","22.33","30.33"
"Кърджали","Миладиново","село","ОУ ""Христо Ботев""","7","8","9.71","8.14","7.71","8.43","22.57","27","20.29"
"Кърджали","Мост","село","ОУ ""Христо Смирненски""","11","12.09","10.64","10.64","9.91","9.91","22.73","26.95","27.45"
"Кърджали","Ненково","село","ОУ ""Иван Вазов""","2","8.5","9.5","6","5.5","5.5","16","22.5","22"
"Кърджали","Перперек","село","ОУ ""Паисий Хилендарски""","11","9.33","6.44","6.25","6.75","5.75","13.86","11.75","8.56"
"Кърджали","Рани лист","село","ОУ "" Н.Й.Вапцаров""","9","8.78","8.89","7","7","7.22","16.67","15.38","15.78"
"Кърджали","Стремци","село","ОУ ""Св. св. Кирил и Методий""","20","10.16","9.21","8.68","7.68","7.32","15.78","17.8","9.85"
"Кърджали","Чифлик","село","ОУ ""Максим Горки""","7","10.33","9.83","8.5","11.83","10.33","20.17","25","18.33"
"Кърджали","Широко поле","село","ОУ ""Иван Вазов""","8","10.33","9.67","10.17","6.17","5.67","20.83","14.67","25.83"
"Кърджали","Ардино","град","СОУ ""Васил Левски""","36","12.06","10.74","9.88","8.79","10.03","21.47","31.43","27.56"
"Кърджали","Бял извор","село","СОУ ""Христо Смирненски""","10","12.8","12.3","8.2","8.4","8.6","17.4","29.2","25.8"
"Кърджали","Боровица","село","ОУ ""А. С. Макаренко""","6","12","12.6","11.6","8.8","9.4","20","34.7","19.2"
"Кърджали","Горно Прахово","село","ОУ ""Св. Св. Кирил и Методий""","5","12.2","12.4","9.2","9.4","9.4","18.6","23.6","22.2"
"Кърджали","Жълтуша","село","ОУ""Отец Паисий""","3","17.33","17.67","12.67","13","13","28.33","47.67","42.33"
"Кърджали","Падина","село","ОУ ""Св.Св.Кирил и Методий""","7","13.43","13.57","11","10","9","17","38","28.86"
"Кърджали","Джебел","град","СОУ ""Христо Ботев""","35","10.82","8.88","9.15","6.94","5.56","18.44","21.88","17.16"
"Кърджали","Мишевско","село","ОУ ""Христо Смирненски""","2","16.5","14.5","11.5","10.5","11.5","18.5","36","24.5"
"Кърджали","Рогозче","село","ОУ ""Христо Смирненски""","5","11.6","10.4","9","10","9.8","17","20.5","29"
"Кърджали","Устрен","село","ОУ ""Васил Левски""","5","12.4","11.6","10.6","8","8.4","18.4","20.4","13.8"
"Кърджали","Припек","село","СОУ ""Паисий Хилендарски""","6","16","15.67","10.33","13","11.5","24","46","30"
"Кърджали","Кирково","село","СОУ ""Отец Паисий""","18","11.56","11.19","9.56","9.31","11.19","23.93","34.62","29.62"
"Кърджали","Бенковски","село","СОУ ""Н. Й. Вапцаров""","38","13.31","11.11","11.14","11.08","11.89","22.31","33.1","33.94"
"Кърджали","Чорбаджийско","село","СОУ""Христо Ботев""","27","10.26","9.44","7.07","8.04","6.93","22.93","23.43","29.26"
"Кърджали","Дрангово","село","ОУ ""Васил Левски""","6","14.33","12.83","9.67","11","9.33","19.5","32.75","20.5"
"Кърджали","Старово","село","ОУ "" Устрем""","10","9.8","10","9.2","7.6","7.6","18.9","32.7","22.2"
"Кърджали","Тихомир","село","ОУ ""Васил Левски""","15","13.33","13.13","8.33","9.47","7.73","25.8","27.4","37.87"
"Кърджали","Чакаларово","село","ОУ ""Иван Вазов""","20","14.5","13.85","11.15","10.35","11.05","22.05","31.5","24.45"
"Кърджали","Фотиново","село","ОУ ""Христо Смирненски""","14","11.43","11.86","10","8.92","9.46","17.07","25.93","36.64"
"Кърджали","Крумовград","град","СОУ ""В. Левски""","66","12.29","10.82","7.98","7.03","7.85","21.36","30.83","21.89"
"Кърджали","Аврен","село","ОУ ""Михаил Христов""","5","16.4","16","9.2","13.6","12.8","17.2","48","26.2"
"Кърджали","Егрек","село","ДОУ ""Васил Левски""","4","11.25","12.75","9","9.5","8.75","16.75","36.62","9.5"
"Кърджали","Горна кула","село","ОУ ""Н. Й. Вапцаров""","4","10","9.75","6.5","6.25","5","14.5","33","23"
"Кърджали","Гулийка","село","ОУ ""Христо Ботев""","18","8.76","9.94","7.53","10.13","10.13","19.24","16.94","18.33"
"Кърджали","Токачка","село","ОУ ""П. К. Яворов"".","13","13.45","10.45","10.7","11.1","10.8","22","32.96","31.17"
"Кърджали","Луличка","село","ОУ ""Васил Левски""","13","8.56","8","7","7.22","7.56","15.44","13.22","18.22"
"Кърджали","Подрумче","село","ОУ ""Никола Й. Вапцаров""","10","8.25","7.12","7.4","8.1","7.9","13.6","26.7","29.11"
"Кърджали","Поточница","село","ОУ ""Иван Вазов""","4","9","9.25","8.25","9","9","18.75","26","28.75"
"Кърджали","Странджево","село","ОУ ""Св. Св. Кирил и Методий""","13","11.23","9.62","5.38","3.54","4.54","16.31","21.88","20.62"
"Кърджали","Момчилград","град","СОУ ""Н.Й.Вапцаров""","46","13.24","14.35","8.59","8.04","9.33","24.02","32.09","25.93"
"Кърджали","Груево","село","ОУ ""Н. Й. Вапцаров""","6","11","13.67","9","8.33","8.67","21","22.33","31.33"
"Кърджали","Звездел","село","ОУ ""Н. Й. Вапцаров""","13","13.46","12.23","10.77","10.92","10.08","22.08","29.46","25.31"
"Кърджали","Момчилград","град","ОУ ""Д-р Петър Берон""","41","11.97","11.8","7.95","7.15","7.26","19.55","31.96","20.38"
"Кърджали","Нановица","село","ОУ ""Св.Св.Кирил и Методий","9","11.25","9.75","6","4.25","5.25","12.11","20.11","19.89"
"Кърджали","Равен","село","ОУ ""Васил Левски""","8","14.29","13.43","6.71","9.29","9.43","16.29","17.88","10"
"Кърджали","Черноочене","село","СОУ ""Хр.Смирненски""","44","11.27","9.89","10","7.34","7.64","20.51","25.22","26.41"
"Кърджали","Габрово","село","ОУ""Христо Ботев""","10","11.8","14.3","10.9","12.9","11","17.9","30.15","22.1"
"Кърджали","Комунига","село","ОУ "" Васил Левски ""","4","15.25","13.75","11","9.5","10.5","20.5","23.12","37"
"Кърджали","Лясково","село","ОУ ""Н. Й. Вапцаров""","7","10.57","12.43","10.29","8.86","9.29","20.29","21.64","22.29"
"Кърджали","Паничково","село","ОУ ""Н. Й. Вапцаров""","2","14","13","9.5","11.5","12","21","35.75","30.5"
"Кюстендил","Невестино","село","ОУ-Невестино","22","10.6","9.53","8.31","8.06","8.75","19.88","11.31","20.25"
"Кюстендил","Трекляно","село","ОУ  ""Св. Кл. Охридски""","8","8.6","11.6","7.33","8.33","4.67","15.2","24.67","22.75"
"Кюстендил","Сапарева баня","град","ОУ  ""Хр. Ботев""","55","13.15","12.48","8.94","8.51","8.64","22.06","28.12","26"
"Кюстендил","Бобов дол","град","ОУ ""Н. Вапцаров""","30","11.88","11.77","10.58","8.81","6.54","19.19","25.84","19.44"
"Кюстендил","Бобов дол","град","СОУ ""Христо Ботев""","22","9.3","8.85","8.35","8.2","7.95","19.25","25.4","16.05"
"Кюстендил","Бобошево","град","ОУ ""Св. Св. Кирил и Методий""","12","11","11","8.82","9.27","9.45","15.09","23.17","15.67"
"Кюстендил","Кочериново","град","СОУ ""Хр. Ботев""","25","10","8.3","8","6.77","7.23","12.62","23.2","15.83"
"Кюстендил","Рила","град","ОУ ""Аверкий Попстоянов""","9","6.4","8.6","5.8","5.2","5.2","14","18.67","10.5"
"Кюстендил","Дупница","град","ОУ""Св.св.Кирил и Методий""","46","12.26","11.76","10.32","9.51","9.27","25.59","32.06","25.59"
"Кюстендил","Дупница","град","СОУ  ""Св. П. Хилендарски""","84","13.4","12.14","10.16","9.41","9.22","23.26","37.44","28.05"
"Кюстендил","Дупница","град","ОУ ""Н. Рилски""","69","12.69","12.44","9.63","9.22","9.95","23.57","30.96","21.72"
"Кюстендил","Дупница","град","ОУ ""Хр. Павлович""","14","12.08","12.08","8.92","4.15","6.23","16.33","16.04","9.46"
"Кюстендил","Дупница","град","ОУ""Е. Георгиев""","63","15.06","15.11","11.25","11.72","9.95","29.53","39.31","31.95"
"Кюстендил","Дупница","град","ОУ ""Св. Кл. Охридски""","43","12.09","12.4","11.8","9.29","8.57","22.5","27.07","19.94"
"Кюстендил","Крайници","село","ОУ""Хр.Ботев""","13","12","11.92","8.38","6.08","6.54","20.31","22.42","12.08"
"Кюстендил","Самораново","село","ОУ ""Христо Ботев""","17","12.65","10.88","7.29","7.12","5.82","20.13","22.06","18.47"
"Кюстендил","Яхиново","село","ОУ ""Св. Св. Кирил и Методий""","13","13.62","12.92","10.54","9.15","9.15","22.85","34.46","25.08"
"Кюстендил","Кюстендил","град","V ОУ ""Хр. Ботев""","20","14.14","14.29","8.43","7.86","7","18","21","13.8"
"Кюстендил","Кюстендил","град","ОУ ""Проф. Марин Дринов""","63","12.84","12.47","9.93","8.07","10.26","22.86","28.13","22.75"
"Кюстендил","Кюстендил","град","ОУ ""Иван Вазов""","63","5.69","6.8","6","3.29","4.6","9.73","11.06","8.45"
"Кюстендил","Кюстендил","град","ПМГ ""Проф. Ем. Иванов""","55","15.61","15.09","10.81","11.57","10.54","26.49","43.14","42.98"
"Кюстендил","Кюстендил","град","СУ ""В. Левски""","22","11.36","13","8.69","9.56","10.12","19.92","13.94","10.12"
"Кюстендил","Кюстендил","град","VІ ОУ ""Св. П. Хилендарски""","35","12","10.72","7.92","4.77","6","18.93","26.48","16.96"
"Кюстендил","Кюстендил","град","VІІ ОУ ""Ильо войвода""","34","10.83","8.48","9","6.08","11.73","17.24","34.84","21.58"
"Кюстендил","Кюстендил","град","ОУ ""Даскал Димитри""","45","14.39","12.88","9.43","9.81","7.5","24.73","34.04","25.19"
"Кюстендил","Кюстендил","град","ОУ ""Св. св. Кирил и Методий""","93","12.58","11.74","9.81","6.66","7.97","20.53","34.9","25.92"
"Ловеч","Априлци","град","ОУ ""Васил Левски""","24","11.79","10.75","7.83","7.83","7","16.79","33.04","21.38"
"Ловеч","Летница","град","СОУ ""Бачо Киро""","49","11.37","10.85","9.14","8.58","7.86","17.78","18.14","20.67"
"Ловеч","Ловеч","град","ОУ ""Васил Левски""","90","15.85","14.62","10.64","10.32","12","26.99","36.13","29.64"
"Ловеч","Ловеч","град","ОУ ""Христо Никифоров""","49","13.32","13.51","10.17","9.38","10.23","20.44","36.52","27.77"
"Ловеч","Ловеч","град","ОУ ""Св.Св. Кирил и Методий""","26","7.14","7.36","6.96","6.96","7.96","18.3","14.75","7.42"
"Ловеч","Малиново","село","ОУ ""Васил Левски""","3","13","14","9","8.33","8.33","18.33","25.67","24"
"Ловеч","Ловеч","град","СОУ ""Тодор Кирков""","28","11.6","11.52","9.15","8.46","9.44","23.04","30.56","25.44"
"Ловеч","Ловеч","град","СОУ ""Панайот Пипков""","22","9.64","8.93","8.23","7.15","8.31","23.85","19.4","12.71"
"Ловеч","Ловеч","град","СОУ ""Св. Климент Охридски""","52","11.94","10","8.76","8.16","7.1","21.22","30.55","23.67"
"Ловеч","Ловеч","град","ПМГ","26","16.81","16.73","11.96","11.73","10.81","31.92","51.83","57.85"
"Ловеч","Александрово","село","СОУ ""Св. св. Кирил и Методий""","18","7.85","7.85","7.38","8.62","8.15","17.23","17.35","16"
"Ловеч","Ловеч","град","ОУ ""Проф. Д. Димов""","61","12.57","11.38","9.97","9.69","8.64","19.82","32.46","33.86"
"Ловеч","Луковит","град","СОУ ""Алеко Константинов""","92","9.39","9.21","7.69","6.74","7.42","15.2","20.94","15.8"
"Ловеч","Бежаново","село","ОУ ""Св.Св.Кирил и Методий""","21","12.28","12.17","9.45","9.4","9.7","20.32","23.55","30.63"
"Ловеч","Дерманци","село","ОУ ""Неофит Рилски""","22","11.37","11.79","8.7","7.65","8.05","15.05","28.68","19.95"
"Ловеч","Румянцево","село","ОУ ""Христо Ботев""","28","7.23","7.82","6.3","5.6","7.1","16","16.17","16.5"
"Ловеч","Торос","село","ОУ ""Васил Левски""","12","10.58","11.17","9.58","7.83","8.17","17.25","28.96","31.42"
"Ловеч","Галата","село","ОУ ""Георги Бенковски""","26","13.12","11.36","9.84","8.4","8.96","18","29.94","23.12"
"Ловеч","Глогово","село","ОУ ""Христо Ботев""","19","13.32","11.05","8.79","8.79","8.05","18.95","24.45","15.32"
"Ловеч","Гложене","село","ОУ ""Йото Н. Врачев""","5","11.2","9.8","10","10","10.8","20.6","22.4","21.6"
"Ловеч","Голям извор","село","ООУ ""Васил Левски""","8","10.17","10.17","7.57","7.57","8.86","19.6","25.17","14.2"
"Ловеч","Градежница","село","ОУ ""Васил Априлов""","17","11.65","10.59","8.35","10.88","11.29","20","30","17.06"
"Ловеч","Рибарица","село","ОУ ""Георги Бенковски""","6","14.83","15","10.33","11.67","12","25.67","34.42","23.17"
"Ловеч","Черни Вит","село","ОУ ""Георги Бенковски""","7","13.67","10.83","10.33","9","10.5","17.57","33.36","24.29"
"Ловеч","Тетевен","град","СОУ ""Георги Бенковски""","67","12.85","11.91","8.7","7.62","7.71","17.25","33.46","24.26"
"Ловеч","Троян","град","ОУ ""Иван Хаджийски""","29","13.41","13.73","9.27","8.05","12.27","24.74","25.15","15"
"Ловеч","Борима","село","ОУ ""Васил Левски""","9","12.38","10.75","10.38","6.75","7.62","17.38","25","16.14"
"Ловеч","Врабево","село","ОУ ""Христо Ботев""","5","12","10","10.5","8","11","16.33","11.75","10"
"Ловеч","Дебнево","село","ОУ ""Любен Каравелов""","11","13.62","12.88","8.22","8.56","10","22.33","22.17","14"
"Ловеч","Орешак","село","ОУ ""Васил Левски""","12","8.44","8.56","7.36","9","8.91","17.2","20.3","18.22"
"Ловеч","Черни Осъм","село","СОУ ""Васил Левски""","3","8","8.67","5","7.33","6.33","12","24","14.67"
"Ловеч","Троян","град","СОУ ""Васил Левски""","88","13.9","13.18","11.1","9.75","8.12","23.56","40.75","33.2"
"Ловеч","Троян","град","СОУ ""Св. Климент Охридски""","60","10.29","10.63","7.95","6.61","6.15","19.1","30.99","19.56"
"Ловеч","Кирчево","село","ОУ ""Христо Ботев""","14","9.33","9.17","8.77","7.23","7.77","18.92","17.5","16.25"
"Ловеч","Лесидрен","село","ОУ ""Св. Паисий Хилендарски""","7","13.57","11","6.86","7.71","6.86","15.43","22.64","17.29"
"Ловеч","Угърчин","град","СОУ ""Св. Св. Кирил и Методий""","33","7.68","7.68","7.13","7.23","7.9","12.68","10.02","8.14"
"Ловеч","Брестница","село","ОУ ""Христо Ботев""","16","10","7.14","8.5","7.64","8.43","12.69","12.69","29.36"
"Ловеч","Златна Панега","село","ОУ ""Любен Каравелов""","16","10.29","8.71","6.29","4.43","5.43","12.79","28.67","18.8"
"Ловеч","Орешене","село","ОУ ""Васил Левски""","11","10","8.86","8.5","9","8.67","17.57","13","11.1"
"Ловеч","Ябланица","град","СОУ ""Васил Левски""","34","11.84","11.94","9.16","7.62","7.94","19.56","23.39","19.19"
"Монтана","Монтана","град","ПМГ ""Св. Кл. Охридски""","29","15.76","14.14","12.69","11.55","10.17","32.86","47.71","48.76"
"Монтана","Монтана","град","І ОУ ""Св.Св.Кирил и Методий""","37","14.09","12.47","11.53","10.56","10.15","24.97","36.93","26.29"
"Монтана","Монтана","град","II СОУ ""Н.Й.Вапцаров""","43","13.76","12.19","12.26","12.36","12.31","26.22","26.11","18.78"
"Монтана","Монтана","град","III ОУ ""Д-р Петър Берон""","78","12.74","13.26","10.04","8.81","9.01","23.3","35.03","25.59"
"Монтана","Монтана","град","Четвърто ОУ "" Иван Вазов""","76","15.46","14.49","12.12","11.57","11.46","28.97","36.35","32.32"
"Монтана","Монтана","град","V СОУ ""Христо Ботев""","45","8.81","8.93","7.14","6.24","6.31","19.02","23.43","15.47"
"Монтана","Монтана","град","VI ОУ ""Л. Каравелов""","35","10.41","10.35","8.77","8.29","7.74","18.85","21.3","13.81"
"Монтана","Монтана","град","VII СОУ","55","11.65","11.35","9.86","9.7","9.32","22.6","27.62","20.83"
"Монтана","Монтана","град","Осмо СОУ ""Отец Паисий""","29","13.35","13.47","9.24","8.94","9.71","21.22","29.97","19.3"
"Монтана","Монтана","град","ІХ СОУ ""Йордан Радичков""","26","13.13","11.17","7.12","6.83","6.46","17.55","23.15","14.96"
"Монтана","Смоляновци","село","ОУ ""Васил Левски""","5","11.2","11.4","10.6","9.8","10","18.4","32.2","24"
"Монтана","Габровница","село","ОУ ""Св.Св.Кирил и Методий","13","11.18","11.18","9.27","9.55","9.82","21.36","18.58","7.92"
"Монтана","Доктор Йосифово","село","ОУ ""Христо Ботев""","7","13","11","7.17","7.5","8.33","19","24.5","16.17"
"Монтана","Чипровци","град","ОУ ""Петър Парчевич""","13","13.38","11.92","9.15","7.31","9.46","16.62","27.27","18.31"
"Монтана","Якимово","село","СОУ ""Д-р П. Берон""","30","11.58","10.83","7.05","6.14","6.18","20.13","13.58","11.77"
"Монтана","Комощица","село","ОУ""Христо Ботев""","2","7","7","7","7","7","14.5","4","7.5"
"Монтана","Берковица","град","I ОУ Н.Й.Вапцаров","19","13.65","13.47","9.59","8.76","9.29","21.94","40.44","29"
"Монтана","Берковица","град","II  ОУ ""Христо Смирненски""","38","13.68","14.07","9.69","8.23","7.81","18.1","31.04","21.42"
"Монтана","Берковица","град","III ОУ ""Ив. Вазов""","34","12.15","12.3","8.21","7.58","8.39","17.55","32.33","26.15"
"Монтана","Берковица","град","ІV ОУ ""Г. С. Раковски""","28","7.77","7.73","6.7","6.04","7.91","20.36","14.74","23.36"
"Монтана","Бързия","село","ОУ ""Г. С. Раковски""","13","16.09","15.55","9.55","8.27","9.27","21.45","42.77","29.55"
"Монтана","Замфирово","село","ОУ Св.Св. Кирил и Методий","1","16","16","12","10","12","13","31","24"
"Монтана","Бойчиновци","град","СОУ ""В.Левски""","19","9.42","9.75","5.93","5.43","7.79","18.17","19.62","9.39"
"Монтана","Лехчево","село","СОУ ""Св. Св. Кирил и Методий""","21","12.42","11.47","10.55","11","10.3","15.9","21.9","13.05"
"Монтана","Владимирово","село","ОУ ""Вл. Минчев""","16","7.5","7.25","5.5","5.31","5.75","19.43","18.88","14.75"
"Монтана","Мадан","село","ОУ ""Отец Паисий""","8","7.5","10.12","8.5","5.5","8.25","20.75","16.25","24.25"
"Монтана","Мърчево","село","ОУ ""Христо Ботев""","4","10.75","10.25","10.33","10.33","10.67","12.25","22.5","15.75"
"Монтана","Бойчиновци","град","СОУ""Св.Св.Кирил и Методий""","4","12","12.5","7","6.5","7","24.5","26.25","19"
"Монтана","Лом","град","І ОУ ""Никола Първанов""","71","13.77","14.94","11.11","10.73","11.48","24.73","32.98","25.62"
"Монтана","Брусарци","град","СОУ""Христо Ботев""","22","12","10.22","9.78","9.39","10.11","17.45","21.29","16.3"
"Монтана","Крива бара","село","ОУ ""П.Кр. Яворов""","9","7.75","7.25","6.38","4.5","6","17.88","19","21.25"
"Монтана","Василовци","село","ОУ ""П.Р.Славейков""","6","10.5","9.33","5.67","7","6.33","16","16","24"
"Монтана","Медковец","село","СОУ ""Отец Паисий""","29","7.04","7.96","5.68","5.12","5.52","12.48","17.4","9.88"
"Монтана","Расово","село","ОУ ""Христо Ботев""","9","12.25","9.75","9.78","9.89","10.67","22.78","35.56","18.78"
"Монтана","Георги Дамяново","село","ОУ ""Отец Паисий""","8","8.57","7.71","8","6.12","6.12","16.25","22.25","16.88"
"Монтана","Вълчедръм","град","І ОУ ""Васил Левски""","21","13.62","14.48","8.71","7.24","9.48","22.71","29.52","22.67"
"Монтана","Вълчедръм","град","II ОУ ""Ив.Вазов""","25","11","10.38","7.71","7.58","7.54","15.92","24.38","14.96"
"Монтана","Долни Цибър","село","ОУ ""Хр.Ботев""","36","11.33","12.27","7.5","7.71","8.65","23.36","23.15","25.06"
"Монтана","Златия","село","ОУ ""Хр. Ботев""","12","9.83","9.67","5.17","5.25","6","14.58","21.67","18.33"
"Монтана","Септемврийци","село","ОУ ""Д-р Петър Берон""","15","9.15","8.38","6.36","5.93","6.36","16.79","17.54","10.92"
"Монтана","Вършец","град","СОУ ""Иван Вазов""","71","6.65","7.18","5.73","6.13","6.87","13.71","14.08","17.68"
