"﻿Област","Община","Населено място","Код по Админ","Училище","БЕЛ Ср.Усп","БЕЛ Бр.","МАТ Ср.Усп","МАТ Бр.","ИЦ Ср.Усп","ИЦ Бр.","ФА Ср.Усп","ФА Бр.","ГИ Ср.Усп","ГИ Бр.","ХООС Ср.Усп","ХООС Бр.","ФИЛ Ср.Усп","ФИЛ Бр.","БЗО Ср.Усп","БЗО Бр.","АЕ Ср.Усп","АЕ Бр.","РЕ Ср.Усп","РЕ Бр.","НЕ Ср.Усп","НЕ Бр.","ИспЕ Ср.Усп","ИспЕ Бр.","ФрЕ Ср.Усп","ФрЕ Бр.","ИтЕ Ср.Усп","ИтЕ Бр.","2ДЗИ Ср.Усп","2ДЗИ Бр.","ср.успех","общо"
"Кърджали","Кърджали","Кърджали","909113","Професионална гимназия по селско и горско стопанство","2,88","29","","","2,31","1","","","2,72","34","","","","","","","","","","","","","","","","","","","2,7","35","2,78","64"
"Кърджали","Кърджали","Кърджали","909114","Професионална гимназия по строителство ""Христо Смирненски""","3,28","22","","","","","","","3,6","4","","","","","3,64","15","5,46","1","","","","","","","","","","","3,72","20","3,49","42"
"Кърджали","Кърджали","Кърджали","909109","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","3,04","64","","","","","","","2,8","46","","","","","2,95","6","4,15","1","","","4,67","1","","","","","","","2,88","54","2,97","118"
"Кърджали","Кърджали","Кърджали","909103","Средно училище ""Йордан Йовков""","3,33","30","2,88","1","","","","","2,99","3","","","","","3,64","27","","","","","","","","","","","","","3,55","31","3,44","61"
"Кърджали","Кърджали","Кърджали","909105","Средно училище ""Отец Паисий"" с природоматематическа насоченост","3,92","68","4,05","3","","","","","3,95","12","","","4,01","5","3,99","35","5,28","13","","","","","","","","","","","4,23","68","4,08","136"
"Кърджали","Кърджали","Кърджали","909101","СРЕДНО УЧИЛИЩЕ "" ВЛАДИМИР ДИМИТРОВ - МАЙСТОРА""","3,79","18","4,53","1","","","","","","","","","","","4,25","15","5,86","1","","","","","","","","","","","4,36","17","4,07","35"
"Кърджали","Кърджали","Кърджали","909106","Средно училище ""Петко Рачов Славейков""","4,35","83","4,15","9","","","5,15","1","3,94","41","","","","","4,02","11","5,38","21","","","","","","","","","","","4,35","83","4,35","166"
"Кърджали","Момчилград","Момчилград","909603","Професионална гимназия по туризъм и хранително-вкусова промишленост ""Св. Св. Кирил и Методий""","2,73","42","","","","","","","","","","","","","2,76","14","","","","","","","","","","","","","2,76","14","2,74","56"
"Кърджали","Момчилград","Момчилград","909613","Духовно Училище","3,77","28","","","4,67","1","","","3,67","17","","","","","4,97","8","","","","","","","","","","","","","4,11","26","3,93","54"
"Кърджали","Момчилград","Момчилград","909601","Средно училище ""Никола Йонков Вапцаров""","3,77","32","","","5,15","4","","","","","","","","","4,31","24","4,85","4","","","","","","","","","","","4,48","32","4,13","64"
"Кърджали","Черноочене","Черноочене","909701","Средно училище ""Христо Смирненски""","3,4","40","","","","","","","4,93","5","","","","","4,25","35","","","","","","","","","","","","","4,33","40","3,87","80"
