id,label
12137021,"Заместник-директор на дирекция, администрация"
12136022,"Председател на медицинска комисия, лекар, НОИ"
12137023,"Началник отдел, Народно събрание"
12136024,"Началник отдел, администрация на Президента"
12137025,"Началник отдел, Сметна палата"
12136026,"Началник отдел, администрация"
12136027,"Началник отдел, областна администрация"
12136028,"Началник отдел, община/район"
12136029,"Началник отдел, Столична община"
12136030,"Началник отдел, кметство"
12137031,"Началник сектор, администрация Народното събрание"
12137032,"Началник сектор, администрация на Президента"
12137033,"Началник сектор, администрация"
12136034,"Началник сектор, Сметна палата"
12136035,"Началник сектор, областна администрация"
12137036,"Началник сектор, териториално поделение "
12137037,"Началник сектор, териториално звено"
12137038,"Началник сектор, община/район"
12137039,"Началник сектор, Столична община"
12137040,"Ръководител инспекторат, администрация"
12137041,"Началник управление, Българска народна банка"
12137042,"Главен одитор, Българска народна банка"
12137043,"Ръководител, вътрешен одит"
12137044,"Ръководител вътрешен одит, Сметна палата"
12137045,"Ръководител сектор експертиза на работоспособността, лекар"
12135046,"Ръководител инспекторат, Столична община"
12135047,"Ръководител, отдел по икономически анализи и прогнози"
12135048,"Ръководител, стратегическо планиране"
12135049,"Ръководител филиал, териториално поделение на НОИ"
12135050,Ръководител проект 
12136051,"Ръководител, технически надзор"
12137052,"Директор дирекция, администрация на МС"
12137053,"Началник отдел, администрация на МС"
12137054,"Началник сектор, администрация на МС"
12136055,"Главен инженер, предприятие"
12136056,Инспектор в инспектората към министъра на правосъдието
12136057,Разследващ митнически инспектор
12137058,"Член на Медицинска комисия, лекар, НОИ"
12130000,Ръководител на звено в митнически пункт
12137001,Регионален инспектор 
12136002,Секретар на местна комисия за борба срещу противообществените прояви на малолетните и непълнолетните
12136003,Ръководител на специализирано звено за разследване
12195004,"Ръководители в бизнес услугите и административните дейности, н.д."
12195005,"Директор дирекция, административни дейности"
12195006,"Управител, бизнес услуги"
12196007,"Управител, чистота"
12193008,"Мениджър, инфраструктура и логистика в предприятие "
12193009,"Ръководител, направление"
12196010,Фасилити мениджър
12196011,"Ръководител, отдел в бизнес услугите"
12195012,"Ръководител, отдел в битовото обслужване"
12195013,"Ръководител, отдел в чистотата"
12195014,"Ръководител/началник, административен отдел"
12195015,Ръководител звено
12195016,"Ръководител, група"
12195017,"Ръководител, клиентски център"
12195018,"Главен директор, банка"
12196019,"Директор дирекция, банка"
12196020,"Началник управление, банка"
12196021,Ръководител регионално звено
12196022,Ръководител/Директор/Началник  управление 
12197023,Ръководител/Началник сектор
12197024,Ръководител/Началник служба
12190000,Ръководител/Началник/Мениджър отдел
12190000,Директор дирекция
12197001,Ръководител интегрирана система за управление
12196002,"Началник, административна служба"
01226003,"Ръководители по продажби, маркетинг и развойна дейност"
12216004,Ръководители по продажби и маркетинг
12216005,Търговски директор
12216006,"Управител, продажби и маркетинг"
12216007,Мениджър покупки/продажби
12216008,Маркетинг мениджър/Директор маркетинг
12216009,Мениджър проучване на пазари
12210000,"Ръководител, външнотърговска кантора"
12216001,"Ръководител, отдел по маркетинг"
12216002,"Ръководител, отдел по продажбите"
12216003,Мениджър на търговската марка/Бранд мениджър
12226004,Ръководители реклама и връзки с обществеността 
12226005,"Ръководител звено, връзки с обществеността"
12220000,"Ръководител звено, реклама"
12227001,"Мениджър, връзки с обществеността"
12227002,"Мениджър, реклама"
12227003,"Управител, реклама и връзки с обществеността "
12237004,Ръководители на научноизследователска и развойна дейност
12237005,"Председател, Българска академия на науките"
12237006,"Заместник-председател, Българска академия на науките"
12237007,"Директор, институт"
12237008,"Заместник-директор, институт"
12237009,Главен научен секретар
12237010,"Ръководител звено, изследване и развитие"
12237011,"Ръководител, научна програма"
12233012,"Ръководител, научен програмен колектив"
12237013,"Ръководител, научна секция"
12230000,Главен конструктор
12230000,Началник отдел технически и качествен контрол
12230000,Завеждащ научна лаборатория
12233001,Ръководител на научна група в музей/художествена галерия
00133002,РЪКОВОДИТЕЛИ В ПРОИЗВОДСТВОТО И СПЕЦИАЛИЗИРАНИТЕ УСЛУГИ
01316003,"Ръководители в селското, горското и рибното стопанство"
13116004,Ръководители в селското и горското стопанство
13116005,"Ръководител участък, горско стопанство (лесничейство)"
13116006,"Ръководител участък, земеделие"
13115007,"Ръководител, горско стопанство"
13110000,"Ръководител, земеделие"
13113001,"Ръководител, животновъдство"
13116002,Главен лесничей
13116003,Ръководител ловно стопанство
13120000,Ръководители в риболова и аквакултурите 
13120000,"Ръководител участък, риболов"
13123001,"Ръководител, риболов"
13127002,"Ръководител, рибовъдство"
01327003,"Ръководители в преработващата и добивната промишленост, строителството и дистрибуцията"
13215004,Ръководители в преработващата промишленост
13217005,"Управител, преработваща промишленост"
13216006,"Мениджър, производство"
13216007,"Главен инженер, преработваща промишленост"
13216008,"Началник, цех"
13216009,Началник производство
13217010,"Заместник-ръководител, обособено производство"
13217011,"Ръководител, отдел в промишлеността"
13217012,"Ръководител, обособено производство"
13217013,Ръководител сектор/звено в промишлеността
13217014,"Ръководител, производствено поделение"
13217015,"Ръководител, структурно звено/ядрен енергиен блок"
13217016,"Ръководител, структурно звено/ядрена електроцентрала"
13217017,"Главен технолог, ядрен енергиен блок"
13215018,"Главен технолог, ядрена централа"
13215019,"Главен технолог, преработваща промишленост"
13215020,Главен енергетик
13215021,Главен механик
13215022,"Ръководител, лаборатория в предприятие"
13215023,Главен корабостроител 
13215024,"Директор, производство"
13215025,Технически директор
13215026,"Ръководител, пречиствателна станция"
13216027,Главен метролог
13216028,"Ръководител група, преработваща промишленост"
13217029,"Ръководител, инсталация"
13216030,"Ръководител, резервоарен парк"
13210000,"Директор дирекция, преработваща промишленост"
13213001,"Ръководител, инфраструктура и поддръжка"
13217002,"Ръководител производство, лекарствени продукти"
13217003,"Квалифицирано лице, фармацевтично производство"
13227004,Ръководители в добивната промишленост
13226005,"Управител, добивна промишленост"
13226006,"Началник, рудник"
13223007,"Началник, обогатителна фабрика"
13227008,"Главен инженер, добивна промишленост"
13227009,"Ръководител група, добивна промишленост"
13227010,"Ръководител участък, добивна промишленост"
13220000,Ръководител подземен обект
13225001,Ръководител минноспасителна служба
13225002,"Директор, обогатителен комплекс"
13226003,"Директор, рудодобивен комплекс"
13233004,Ръководители в строителството
13236005,"Управител , проектиране"
13237006,"Управител, строителство"
13236007,"Главен инженер, строителство"
13236008,Строителен предприемач
13237009,"Инженер, строителен надзор"
13237010,"Началник, строителен обект"
13236011,"Началник, строеж"
13230000,"Ръководител, отдел в строителството"
13233001,"Ръководител, отдел в проектирането"
13235002,"Ръководител, група в строителството"
13233003,"Мениджър, инвестиционни проекти"
13243004,"Ръководители снабдяване, дистрибуция и сродни на тях "
13247005,"Мениджър, логистика"
13247006,"Директор, закупуване"
13247007,"Управител, складово стопанство"
13247008,"Управител, транспорт"
13247009,"Началник, аерогара"
13243010,"Началник, летище"
13243011,"Началник, морска гара"
13243012,"Началник, речна гара"
13243013,"Началник на ремонтно звено, транспорт"
13243014,"Началник участък, свръзки и ел. съоръжения"
13243015,"Началник участък, осигурителни инсталации"
13243016,"Началник, тягова подстанция в железопътен транспорт"
13243017,"Началник, подрайон по контактна железопътна мрежа"
13245018,"Началник, участък по поддържане на железния път и съоръженията"
13245019,"Началник, автогара"
13243020,"Началник, експлоатационно звено в транспорта"
13243021,"Началник, превозна служба"
13245022,"Началник, железопътна гара"
13246023,"Началник, метростанция"
13245024,"Началник, вагонно-ревизорски участък"
13245025,"Ръководител, отдел в транспорта"
13245026,"Заместник-началник, железопътна гара"
13243027,"Ръководител, отдел в транспорта (нефто- и газопроводи)"
13243028,"Ръководител, отдел в складовото стопанство"
13246029,"Ръководител група, транспорт"
13246030,"Ръководител, транспорт"
13246031,"Ръководител смяна, транспортно експлоатационно звено"
13246032,"Ръководител смяна, ремонтно звено в транспорта"
13245033,"Ръководител отдел, доставки"
13245034,"Ръководител отдел, дистрибуция"
13245035,"Ръководител отдел, складиране"
13246036,"Ръководител, автобаза"
13246037,"Летец-пилот, директор на дирекция"
13247038,Ръководител автосервиз
13247039,Началник пристанищен район
13247040,"Главен пилот, директор дирекция"
13240000,Ръководител на район
13240000,"Главен авиоинженер, директор дирекция"
13246001,"Ръководител на организация за техническо обслужване, авиация"
13246002,Ръководител на организация за поддържане на непрекъсната летателна годност
01333003,Ръководители в областта на информационните и комуникационните технологии
13303004,Ръководители в областта на информационните и комуникационните технологии
13306005,"Директор, информационни системи"
13306006,"Директор/ Мениджър, информационни технологии"
13306007,"Началник, пощенска станция"
13306008,"Ръководител,  комуникационни технологии"
13306009,"Ръководител, информационно обслужване"
13306010,"Ръководител, компютърно обслужване"
13306011,"Ръководител, компютърни системи: разработка на системи"
13306012,"Ръководител, информационни и комуникационни технологии"
13303013,"Мениджър, мрежи"
13306014,"Мениджър, софтуерни приложения"
13305015,"Мениджър, софтуерно развитие"
13305016,"Мениджър, обработка на данни "
13305017,"Управител, пощи"
13305018,"Управител, Интернет доставки"
13305019,Ръководител радио/телевизионни станции
13305020,"Ръководител, сектор/студиен комплекс - радио и телевизия"
13305021,"Главен редактор, радио/телевизия"
13305022,"Директор на дирекция, радио/телевизия"
13305023,"Директор, радио/телевизионна програма"
13306024,"Ръководител, техническа смяна радио/телевизия"
13306025,Мениджър ИТ център
13300000,"Директор, информационни системи и системи за управление"
13300000,"Ръководител, информационни и комуникационни технологии и системи за управление "
13305001,Ръководител подвижни радиорелейни/телевизионни станции
13305002,Изпълнителен продуцент
01340000,Ръководители в областта на професионалните услуги
13419001,Ръководители в областта на услугите за грижи за деца
13417002,"Управител, детско заведение"
13417003,"Директор, детска ясла"
13429004,Ръководители в здравеопазването
13429005,Директор НЕЛК
13425006,"Директор, здравно заведение"
13427007,"Директор/Управител/Ръководител, лечебно заведение"
13426008,Председател ТЕЛК
13426009,Председател ДЕЛК
13427010,"Управител, лечебно заведение за извънболнична помощ "
13427011,"Ръководител/Управител, здравно заведение"
13426012,"Ръководител, лаборатория"
13426013,"Ръководител, служба по трудова медицина"
13426014,Началник клиника
13426015,"Лекар, началник отделение/лаборатория"
13426016,Главна медицинска сестра
13426017,Старша медицинска сестра
13426018,Старши рентгенов лаборант
13426019,Старши медицински лаборант
13427020,Главна акушерка
13427021,Старша акушерка
13427022,Главен рехабилитатор
13427023,Старши рехабилитатор
13427024,"Фармацевт-магистър, ръководител на  аптека"
